HOM-co-polarization,,,HOM-cross-polarization,
Time delay(ns),Coincidence (a.u.),,Time delay(ns),Coincidence (a.u.)
-28.65,0.00837988826815642,,-28.65,0.00749063670411985
-28.62,0.00837988826815642,,-28.62,0.00936329588014981
-28.59,0.015828677839851,,-28.59,0.00749063670411985
-28.56,0.0111731843575419,,-28.56,0.00936329588014981
-28.53,0.00558659217877095,,-28.53,0.0121722846441948
-28.5,0.0111731843575419,,-28.5,0.00936329588014981
-28.47,0.00837988826815642,,-28.47,0.00561797752808989
-28.44,0.00931098696461825,,-28.44,0.00655430711610487
-28.41,0.00837988826815642,,-28.41,0.00936329588014981
-28.38,0.0111731843575419,,-28.38,0.0112359550561798
-28.35,0.0102420856610801,,-28.35,0.00749063670411985
-28.32,0.0111731843575419,,-28.32,0.00749063670411985
-28.29,0.00837988826815642,,-28.29,0.00374531835205993
-28.26,0.00651769087523278,,-28.26,0.00842696629213483
-28.23,0.0102420856610801,,-28.23,0.0112359550561798
-28.2,0.0037243947858473,,-28.2,0.0121722846441948
-28.17,0.0111731843575419,,-28.17,0.00749063670411985
-28.14,0.0130353817504656,,-28.14,0.0131086142322097
-28.11,0.00837988826815642,,-28.11,0.0112359550561798
-28.08,0.00465549348230913,,-28.08,0.0177902621722846
-28.05,0.00837988826815642,,-28.05,0.0168539325842697
-28.02,0.0102420856610801,,-28.02,0.0102996254681648
-27.99,0.0102420856610801,,-27.99,0.00561797752808989
-27.96,0.00931098696461825,,-27.96,0.0159176029962547
-27.93,0.0139664804469274,,-27.93,0.0177902621722846
-27.9,0.00651769087523278,,-27.9,0.0140449438202247
-27.87,0.0139664804469274,,-27.87,0.00936329588014981
-27.84,0.0074487895716946,,-27.84,0.00468164794007491
-27.81,0.0130353817504656,,-27.81,0.0168539325842697
-27.78,0.0186219739292365,,-27.78,0.00749063670411985
-27.75,0.0102420856610801,,-27.75,0.0112359550561798
-27.72,0.0111731843575419,,-27.72,0.0121722846441948
-27.69,0.0111731843575419,,-27.69,0.0112359550561798
-27.66,0.0121042830540037,,-27.66,0.0102996254681648
-27.63,0.021415270018622,,-27.63,0.00936329588014981
-27.6,0.0130353817504656,,-27.6,0.0140449438202247
-27.57,0.0074487895716946,,-27.57,0.0177902621722846
-27.54,0.0167597765363129,,-27.54,0.0168539325842697
-27.51,0.0121042830540037,,-27.51,0.00936329588014981
-27.48,0.0130353817504656,,-27.48,0.0140449438202247
-27.45,0.0167597765363129,,-27.45,0.0187265917602996
-27.42,0.0148975791433892,,-27.42,0.0140449438202247
-27.39,0.015828677839851,,-27.39,0.0196629213483146
-27.36,0.0186219739292365,,-27.36,0.0112359550561798
-27.33,0.0148975791433892,,-27.33,0.0112359550561798
-27.3,0.0167597765363129,,-27.3,0.0112359550561798
-27.27,0.0204841713221601,,-27.27,0.0224719101123596
-27.24,0.0232774674115456,,-27.24,0.0168539325842697
-27.21,0.0251396648044693,,-27.21,0.0159176029962547
-27.18,0.0130353817504656,,-27.18,0.0177902621722846
-27.15,0.0176908752327747,,-27.15,0.0187265917602996
-27.12,0.0195530726256983,,-27.12,0.0196629213483146
-27.09,0.0260707635009311,,-27.09,0.0177902621722846
-27.06,0.0316573556797021,,-27.06,0.0159176029962547
-27.03,0.015828677839851,,-27.03,0.0234082397003745
-27,0.0279329608938547,,-27,0.0262172284644195
-26.97,0.0288640595903166,,-26.97,0.0280898876404494
-26.94,0.0288640595903166,,-26.94,0.0280898876404494
-26.91,0.0242085661080074,,-26.91,0.0234082397003745
-26.88,0.0288640595903166,,-26.88,0.0308988764044944
-26.85,0.037243947858473,,-26.85,0.0327715355805243
-26.82,0.0288640595903166,,-26.82,0.0290262172284644
-26.79,0.0335195530726257,,-26.79,0.0252808988764045
-26.76,0.0335195530726257,,-26.76,0.0271535580524345
-26.73,0.0307262569832402,,-26.73,0.0290262172284644
-26.7,0.0446927374301676,,-26.7,0.0346441947565543
-26.67,0.0465549348230913,,-26.67,0.0308988764044944
-26.64,0.0465549348230913,,-26.64,0.050561797752809
-26.61,0.0521415270018622,,-26.61,0.0393258426966292
-26.58,0.0502793296089386,,-26.58,0.0449438202247191
-26.55,0.0623836126629423,,-26.55,0.0561797752808989
-26.52,0.0772811918063315,,-26.52,0.0421348314606742
-26.49,0.0595903165735568,,-26.49,0.0552434456928839
-26.46,0.058659217877095,,-26.46,0.0880149812734083
-26.43,0.0577281191806332,,-26.43,0.0627340823970038
-26.4,0.0856610800744879,,-26.4,0.0767790262172285
-26.37,0.0837988826815642,,-26.37,0.0823970037453184
-26.34,0.0949720670391061,,-26.34,0.0842696629213483
-26.31,0.110800744878957,,-26.31,0.102059925093633
-26.28,0.108938547486034,,-26.28,0.0842696629213483
-26.25,0.108007448789572,,-26.25,0.103932584269663
-26.22,0.0996275605214153,,-26.22,0.100187265917603
-26.19,0.143389199255121,,-26.19,0.126404494382022
-26.16,0.135940409683426,,-26.16,0.131086142322097
-26.13,0.138733705772812,,-26.13,0.130149812734082
-26.1,0.162942271880819,,-26.1,0.147003745318352
-26.07,0.175977653631285,,-26.07,0.154494382022472
-26.04,0.190875232774674,,-26.04,0.173220973782772
-26.01,0.172253258845438,,-26.01,0.177902621722846
-25.98,0.219739292364991,,-25.98,0.174157303370787
-25.95,0.210428305400372,,-25.95,0.197565543071161
-25.92,0.20391061452514,,-25.92,0.250936329588015
-25.89,0.23463687150838,,-25.89,0.219101123595506
-25.86,0.229981378026071,,-25.86,0.26498127340824
-25.83,0.266294227188082,,-25.83,0.267790262172285
-25.8,0.29608938547486,,-25.8,0.275280898876405
-25.77,0.336126629422719,,-25.77,0.295880149812734
-25.74,0.320297951582868,,-25.74,0.346441947565543
-25.71,0.35195530726257,,-25.71,0.338014981273408
